TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1
200301010000,200301010030,-9999.0,1,0.0,3.802,23.717,3.56213,-0.560215,4.63404,0.0,0.0,0.0,24.979
200301010030,200301010100,-9999.0,1,0.0,2.71,23.36,3.51275,-0.694455,4.61698,0.0,0.0,0.0,24.934
200301010100,200301010130,-9999.0,1,0.0,2.276,23.173,3.48697,-0.718771,4.60799,0.0,0.0,0.0,24.891
200301010130,200301010200,-9999.0,1,0.0,1.655,23.02,3.46591,-0.681022,4.60062,0.0,0.0,0.0,24.848
200301010200,200301010230,-9999.0,1,0.0,1.055,23.023,3.46632,-0.68061,4.60076,0.0,0.0,0.0,24.812
200301010230,200301010300,-2.45412,0,0.0,0.856,22.863,3.44433,5.89845,4.59303,0.0,0.0,0.0,24.784
200301010300,200301010330,1.8831,0,0.0,1.096,22.92,3.45216,1.56906,4.59579,0.0,0.0,0.0,24.756
200301010330,200301010400,1.52257,0,0.0,1.349,22.887,3.44763,1.92506,4.59419,0.0,0.0,0.0,24.729
200301010400,200301010430,-7.39498,0,0.0,1.382,22.833,3.44021,10.8352,4.59158,0.0,0.0,0.0,24.707
200301010430,200301010500,-9999.0,1,0.0,1.431,22.64,3.41375,-0.73318,4.58222,0.0,0.0,0.0,24.678
200301010500,200301010530,-9999.0,1,0.0,2.183,22.763,3.43061,-0.716321,4.58819,0.0,0.0,0.0,24.639
200301010530,200301010600,-9999.0,1,0.0,2.22,22.627,3.41197,-0.734961,4.58158,0.0,0.0,0.0,24.608
200301010600,200301010630,-9999.0,1,0.0,1.954,22.503,3.395,-0.751932,4.57555,0.0,0.0,0.0,24.567
200301010630,200301010700,10.0813,0,0.0,1.329,22.197,3.35322,-6.72808,4.5606,0.0,0.0,0.0,24.519
200301010700,200301010730,11.0507,0,3.195,1.204,21.967,3.32191,-7.72879,4.5493,0.263847,12.4116,9.4706,24.476
200301010730,200301010800,1.74702,0,49.107,1.065,21.9,3.31281,1.56579,4.546,3.6268,150.245,106.239,24.431
200301010800,200301010830,-9.80481,0,158.8,1.561,22.347,3.37368,13.1785,4.56794,9.36414,317.797,334.238,24.398
200301010830,200301010900,-7.72667,0,227.767,2.344,22.98,3.46041,11.1871,4.59869,11.9203,479.416,501.914,24.403
200301010900,200301010930,-9.45513,0,401.7,3.508,23.877,3.58431,13.0394,4.64165,16.3774,632.338,887.941,24.419
200301010930,200301011000,-11.4539,0,485.233,6.949,25.967,3.87728,15.3312,4.73906,17.885,773.944,1070.44,24.462
200301011000,200301011030,-9.80152,0,614.0,6.676,25.993,3.88096,13.6825,4.74025,19.7152,901.814,1335.36,24.537
200301011030,200301011100,-9.89957,0,751.667,8.47,27.07,4.03411,13.9337,4.789,21.2135,1013.76,1621.39,24.627
200301011100,200301011130,-9999.0,1,462.533,9.631,27.903,4.15349,19.4258,4.82606,17.5047,1107.86,991.001,24.737
200301011130,200301011200,-15.8879,0,790.7,11.308,28.65,4.26118,20.1491,4.85882,20.3315,1182.51,1680.75,24.837
200301011200,200301011230,-21.1392,0,636.267,10.671,28.397,4.22464,25.3638,4.84777,19.4324,1236.44,1362.45,24.98
200301011230,200301011300,-10.4897,0,572.433,12.116,28.933,4.30213,14.7918,4.87112,17.5889,1268.71,1229.79,25.088
200301011300,200301011330,-9999.0,1,613.833,12.35,28.977,4.30851,19.0488,4.87303,17.8565,1278.78,1328.86,25.154
200301011330,200301011400,-9999.0,1,734.967,12.204,29.0,4.31184,18.1468,4.87402,19.0749,1266.48,1565.62,25.211
200301011400,200301011430,-9999.0,1,606.0,12.643,29.193,4.33983,18.6343,4.88237,17.5525,1232.01,1332.97,25.282
200301011430,200301011500,-9999.0,1,483.2,13.174,29.553,4.39213,16.5736,4.89785,15.7866,1175.96,1049.36,25.342
200301011500,200301011530,-15.0287,0,553.433,14.899,30.31,4.50252,19.5312,4.9301,15.4149,1099.3,1172.7,25.423
200301011530,200301011600,-8.39263,0,608.067,14.102,29.82,4.431,12.8236,4.90928,16.4765,1003.34,1301.5,25.474
200301011600,200301011630,-8.84038,0,515.667,17.17,30.793,4.57323,13.4136,4.95045,13.6048,889.709,1079.08,25.538
200301011630,200301011700,-4.8832,0,189.967,13.513,29.54,4.39024,9.27344,4.89729,9.74769,760.364,433.752,25.581
200301011700,200301011730,-5.66927,0,315.5,14.716,30.18,4.48352,10.1528,4.92459,12.3893,617.513,662.699,25.617
200301011730,200301011800,-0.993764,0,106.1,13.788,29.693,4.4125,5.40627,4.90385,6.52367,463.601,232.612,25.644
200301011800,200301011830,0.92917,0,89.333,10.923,28.82,4.28577,3.3566,4.86622,5.96751,301.262,196.2,25.661
200301011830,200301011900,1.285,0,45.29,10.391,28.54,4.24529,2.96029,4.85402,3.36522,133.273,104.49,25.67
200301011900,200301011930,-9999.0,1,2.115,9.224,28.213,4.19811,2.34682,4.83971,0.175146,6.74567,8.42008,25.667
200301011930,200301012000,-9999.0,1,0.0,8.438,27.807,4.13969,1.33222,4.82181,0.0,0.0,0.0,25.654
200301012000,200301012030,-9999.0,1,0.0,8.861,27.817,4.14113,1.33366,4.82226,0.0,0.0,0.0,25.636
200301012030,200301012100,-9999.0,1,0.0,6.956,26.75,3.98846,0.077094,4.77461,0.0,0.0,0.0,25.621
200301012100,200301012130,-9999.0,1,0.0,4.037,25.3,3.78316,0.464802,4.70838,0.0,0.0,0.0,25.582
200301012130,200301012200,-9999.0,1,0.0,2.605,24.733,3.7036,-0.020106,4.682,0.0,0.0,0.0,25.511
200301012200,200301012230,-9999.0,1,0.0,1.062,24.053,3.60876,-0.484794,4.65,0.0,0.0,0.0,25.419
200301012230,200301012300,-9999.0,1,0.0,0.622,23.677,3.55659,-0.614995,4.63213,0.0,0.0,0.0,25.332
200301012300,200301012330,-9999.0,1,0.0,0.579,23.587,3.54413,-0.627453,4.62784,0.0,0.0,0.0,25.3
200301012330,200301020000,-9999.0,1,0.0,0.913,23.747,3.56628,-0.527268,4.63547,0.0,0.0,0.0,25.26
200301020000,200301020030,-9999.0,1,0.0,0.698,23.62,3.54869,-0.622887,4.62942,0.0,0.0,0.0,25.21
200301020030,200301020100,-9999.0,1,0.0,0.594,23.467,3.52753,-0.644047,4.6221,0.0,0.0,0.0,25.172
200301020100,200301020130,-9999.0,1,0.0,0.572,23.38,3.51552,-0.656064,4.61794,0.0,0.0,0.0,25.139
200301020130,200301020200,-9999.0,1,0.0,0.677,23.343,3.51041,-0.66117,4.61616,0.0,0.0,0.0,25.1
200301020200,200301020230,-9999.0,1,0.0,0.8,23.28,3.50172,-0.667233,4.61314,0.0,0.0,0.0,25.062
200301020230,200301020300,-9999.0,1,0.0,1.595,23.593,3.54496,-0.626623,4.62813,0.0,0.0,0.0,25.016
200301020300,200301020330,-9999.0,1,0.0,0.856,23.23,3.49482,-0.674128,4.61073,0.0,0.0,0.0,24.967
200301020330,200301020400,-9999.0,1,0.0,0.62,23.113,3.47871,-0.690245,4.6051,0.0,0.0,0.0,24.919
200301020400,200301020430,-9999.0,1,0.0,0.58,23.053,3.47045,-0.642683,4.60221,0.0,0.0,0.0,24.877
200301020430,200301020500,13.5141,0,0.0,0.592,22.87,3.44529,-10.0688,4.59337,0.0,0.0,0.0,24.842
200301020500,200301020530,-9999.0,1,0.0,0.608,22.793,3.43472,-0.678406,4.58964,0.0,0.0,0.0,24.813
200301020530,200301020600,-9999.0,1,0.0,0.551,22.777,3.43253,-0.680601,4.58887,0.0,0.0,0.0,24.778
200301020600,200301020630,-9999.0,1,0.0,0.59,22.827,3.43939,-0.673741,4.59129,0.0,0.0,0.0,24.744
200301020630,200301020700,-9999.0,1,0.0,0.582,22.847,3.44214,-0.670994,4.59226,0.0,0.0,0.0,24.726
200301020700,200301020730,-9999.0,1,2.345,0.574,22.88,3.44667,-0.613424,4.59385,0.194077,10.3763,5.95658,24.702
200301020730,200301020800,-9999.0,1,35.623,0.583,22.88,3.44667,-0.448744,4.59385,2.7152,144.79,77.4408,24.686
200301020800,200301020830,-9999.0,1,111.367,0.615,22.973,3.45945,3.05405,4.59835,7.19416,312.592,241.034,24.67
200301020830,200301020900,-9999.0,1,159.9,0.603,23.17,3.48656,6.06996,4.60785,9.40998,474.553,350.033,24.666
200301020900,200301020930,-8.53835,0,259.233,0.596,23.257,3.49855,12.0369,4.61203,12.9048,627.9,565.674,24.674
200301020930,200301021000,-12.7676,0,481.233,0.729,23.64,3.55146,16.3191,4.63037,17.8194,770.011,1045.43,24.689
200301021000,200301021030,-9.0403,0,602.867,3.298,25.093,3.75407,12.7944,4.69878,19.5758,898.452,1312.37,24.732
200301021030,200301021100,-16.2177,0,621.8,5.667,26.073,3.89229,20.11,4.7439,19.8111,1011.03,1362.28,24.794
200301021100,200301021130,-20.8498,0,600.167,7.862,26.96,4.01841,24.8682,4.78406,19.5415,1105.81,1308.78,24.854
200301021130,200301021200,-15.8614,0,708.733,9.427,27.513,4.0975,19.9589,4.80877,20.7867,1181.18,1526.66,24.94
200301021200,200301021230,-11.8519,0,560.667,10.699,27.983,4.16499,16.0169,4.82958,18.4958,1235.85,1214.83,25.037
200301021230,200301021300,-16.0937,0,450.267,10.435,28.033,4.17219,20.2659,4.83179,17.0213,1268.87,978.91,25.096
200301021300,200301021330,-10.3505,0,427.6,9.97,27.677,4.12103,14.4715,4.81606,16.878,1279.69,926.487,25.134
200301021330,200301021400,-18.9569,0,493.3,10.824,28.327,4.21454,23.1714,4.84471,17.4629,1268.13,1076.01,25.188
200301021400,200301021430,-9999.0,1,642.9,11.681,28.77,4.27854,19.3647,4.86405,18.6808,1234.37,1396.22,25.252
200301021430,200301021500,-9999.0,1,586.033,10.713,28.633,4.25872,18.3795,4.85808,18.8077,1179.0,1267.34,25.32
200301021500,200301021530,-9999.0,1,512.567,7.631,27.2,4.05269,15.4256,4.79482,18.3174,1102.96,1069.86,25.332
200301021530,200301021600,-9999.0,1,518.3,10.447,28.677,4.26509,16.1792,4.86,18.0915,1007.55,1129.59,25.351
200301021600,200301021630,-9999.0,1,132.733,6.192,27.107,4.0394,6.49002,4.79065,8.22079,894.415,316.734,25.37
200301021630,200301021700,-9999.0,1,155.6,3.278,25.44,3.80287,5.74138,4.71485,9.22971,765.481,379.219,25.362
200301021700,200301021730,-1.16153,0,121.333,3.264,25.48,3.8085,4.97004,4.71669,7.6838,622.955,283.995,25.332
200301021730,200301021800,-1.04909,0,62.543,3.246,25.673,3.83573,4.88482,4.72558,4.48057,469.278,148.126,25.318
200301021800,200301021830,-9999.0,1,48.793,4.043,25.693,3.83855,2.83419,4.7265,3.60622,307.077,116.544,25.319
200301021830,200301021900,-9999.0,1,8.728,3.024,25.31,3.78457,0.497498,4.70884,0.71065,139.129,22.3079,25.316
200301021900,200301021930,-9999.0,1,0.0,1.84,23.677,3.55659,-0.614995,4.63213,0.0,8.48281,0.0,25.179
200301021930,200301022000,-9999.0,1,0.0,1.152,23.193,3.48972,-0.679226,4.60895,0.0,0.0,0.0,25.016
200301022000,200301022030,-9999.0,1,0.0,0.927,23.117,3.47926,-0.689694,4.6053,0.0,0.0,0.0,24.961
200301022030,200301022100,-9999.0,1,0.0,0.856,23.047,3.46962,-0.643509,4.60192,0.0,0.0,0.0,24.914
200301022100,200301022130,2.08984,0,0.0,0.721,23.017,3.4655,1.37566,4.60048,0.0,0.0,0.0,24.882
200301022130,200301022200,-9999.0,1,0.0,0.692,23.007,3.46412,-0.64901,4.59999,0.0,0.0,0.0,24.85
200301022200,200301022230,-9999.0,1,0.0,0.701,22.997,3.46275,-0.650385,4.59951,0.0,0.0,0.0,24.824
200301022230,200301022300,-9999.0,1,0.0,1.001,23.08,3.47416,-0.638968,4.60351,0.0,0.0,0.0,24.788
200301022300,200301022330,-9999.0,1,0.0,0.791,22.887,3.44763,-0.665502,4.59419,0.0,0.0,0.0,24.719
200301022330,200301030000,-9999.0,1,0.0,0.829,22.893,3.44845,-0.664678,4.59448,0.0,0.0,0.0,24.694
200301030000,200301030030,-9999.0,1,0.0,1.003,22.953,3.4567,-0.656434,4.59738,0.0,0.0,0.0,24.664
200301030030,200301030100,-9999.0,1,0.0,0.992,22.937,3.4545,-0.658634,4.58155,0.0,0.0,0.0,24.643
200301030100,200301030130,-9999.0,1,0.0,1.08,22.977,3.46,-0.653135,4.56841,0.0,0.0,0.0,24.628
200301030130,200301030200,-9999.0,1,0.0,0.839,22.893,3.44845,-0.664678,4.54932,0.0,0.0,0.0,24.61
200301030200,200301030230,-9999.0,1,0.0,0.762,22.877,3.44625,-0.723175,4.5335,0.0,0.0,0.0,24.594
200301030230,200301030300,-9999.0,1,0.0,0.733,22.85,3.44255,-0.726883,4.51716,0.0,0.0,0.0,24.584
200301030300,200301030330,-9999.0,1,0.0,0.732,22.843,3.44159,-0.727843,4.50178,0.0,0.0,0.0,24.573
200301030330,200301030400,-9999.0,1,0.0,0.712,22.817,3.43802,-0.731412,4.4855,0.0,0.0,0.0,24.551
200301030400,200301030430,-9999.0,1,0.0,0.713,22.84,3.44117,-0.728256,4.47154,0.0,0.0,0.0,24.531
200301030430,200301030500,-9999.0,1,0.0,0.705,22.863,3.44433,-0.725098,4.45758,0.0,0.0,0.0,24.509
