TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,TS_F_MDS_1
200901010000,200901010030,-9999.0,2,0.0,0.557,22.573,2.12509,-6.42946,2.91755,0.0,0.0,0.0,24.343
200901010030,200901010100,-9999.0,2,0.0,0.536,22.49,2.11752,-6.43703,2.91497,0.0,0.0,0.0,24.338
200901010100,200901010130,-9999.0,2,0.0,0.496,22.377,2.10722,-6.44733,2.91146,0.0,0.0,0.0,24.332
200901010130,200901010200,-9999.0,2,0.0,0.414,22.333,2.10322,-6.45133,2.91009,0.0,0.0,0.0,24.323
200901010200,200901010230,-9999.0,2,0.0,0.347,22.17,2.08841,-6.46614,2.90501,0.0,0.0,0.0,24.313
200901010230,200901010300,-9999.0,2,0.0,0.302,22.13,2.08478,-6.46977,2.90376,0.0,0.0,0.0,24.305
200901010300,200901010330,-9999.0,2,0.0,0.273,21.98,2.07119,-7.0824,2.89906,0.0,0.0,0.0,24.298
200901010330,200901010400,-9999.0,2,0.0,0.255,21.973,2.07055,-7.08304,2.89884,0.0,0.0,0.0,24.29
200901010400,200901010430,-9999.0,2,0.0,0.238,21.997,2.07273,-7.08086,2.89959,0.0,0.0,0.0,24.282
200901010430,200901010500,-9999.0,2,0.0,0.211,21.977,2.07091,-7.08268,2.89897,0.0,0.0,0.0,24.275
200901010500,200901010530,-9999.0,2,0.0,0.202,21.923,2.06603,-7.08756,2.89727,0.0,0.0,0.0,24.268
200901010530,200901010600,-9999.0,2,0.0,0.184,21.877,2.06187,-6.66955,2.89583,0.0,0.0,0.0,24.265
200901010600,200901010630,-9999.0,2,0.0,0.183,21.833,2.05789,-5.52769,2.89445,0.0,0.0,0.0,24.26
200901010630,200901010700,-9999.0,2,0.0,0.157,21.793,2.05428,-6.43091,2.89319,0.0,0.0,0.0,24.253
200901010700,200901010730,-9999.0,2,2.97,0.158,21.887,2.06277,-6.42242,2.89614,0.111951,10.333,7.59432,24.245
200901010730,200901010800,-9999.0,2,37.357,0.156,21.76,2.05131,-6.50887,2.89215,1.35939,144.591,77.2024,24.235
200901010800,200901010830,-9999.0,2,84.733,0.156,21.77,2.05221,0.734667,2.89247,2.94304,312.292,176.321,24.227
200901010830,200901010900,-9999.0,2,131.6,0.158,21.95,2.06847,8.07165,2.89812,4.37393,474.154,274.108,24.225
200901010900,200901010930,-9999.0,2,296.3,0.183,22.59,2.12664,21.6885,2.91808,8.55298,627.408,652.565,24.228
200901010930,200901011000,-9999.0,2,299.5,1.196,23.497,2.20995,21.3158,2.94595,8.62332,769.433,698.195,24.243
200901011000,200901011030,-9999.0,2,475.767,3.164,24.113,2.26711,21.3836,2.96462,12.0122,897.797,1095.84,24.257
200901011030,200901011100,-9999.0,2,649.933,4.468,24.89,2.33983,25.3454,2.98787,14.6301,1010.3,1469.62,24.285
200901011100,200901011130,-9999.0,2,763.667,6.696,25.793,2.4252,22.1309,3.01448,16.0535,1105.03,1685.67,24.318
200901011130,200901011200,-9999.0,2,384.467,7.464,26.133,2.45757,16.7962,3.02439,10.3682,1180.35,848.139,24.365
200901011200,200901011230,-9999.0,2,311.667,6.231,25.733,2.4195,18.0948,3.01273,8.88753,1234.99,699.52,24.397
200901011230,200901011300,-9999.0,2,466.633,7.479,26.373,2.48049,18.6263,3.03135,11.8573,1267.99,1041.16,24.43
200901011300,200901011330,-9999.0,2,591.833,8.312,26.77,2.51855,21.9675,3.04279,13.8223,1278.81,1284.06,24.473
200901011330,200901011400,-9999.0,2,641.933,9.989,27.423,2.58149,22.8574,3.06143,14.5224,1267.25,1377.5,24.52
