TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,RH
201301010000,201301010030,-0.546879,0,0.0,0.982,7.849,2.01263,2.55951,3.65864,0.0,0.0,0.0,90.7568
201301010030,201301010100,-9999.0,1,0.0,0.906,8.291,2.03899,-0.035864,3.74272,0.0,0.0,-9999.0,-9999.0
201301010100,201301010130,-9999.0,1,0.0,0.487,7.462,1.98949,-0.243671,3.58547,0.0,0.0,0.0,95.2956
201301010130,201301010200,-9999.0,1,0.0,0.401,7.312,1.9805,-0.23763,3.55722,0.0,0.0,0.0,96.079
201301010200,201301010230,-9999.0,1,0.0,0.4,7.3,1.97978,-0.216619,3.55497,0.0,0.0,0.0,96.0887
201301010230,201301010300,-9999.0,1,0.0,0.35,7.302,1.9799,-0.216499,3.55534,0.0,0.0,0.0,96.5776
201301010300,201301010330,-9999.0,1,0.0,0.327,7.444,1.98841,-0.242819,3.58208,0.0,0.0,0.0,96.8396
201301010330,201301010400,-9999.0,1,0.0,0.286,7.497,1.99158,-0.234665,3.59207,0.0,0.0,0.0,97.2391
201301010400,201301010430,-9999.0,1,0.0,0.247,7.586,1.99691,-0.229338,3.60887,0.0,0.0,0.0,97.6321
201301010430,201301010500,-9999.0,1,0.0,0.25,7.727,2.00535,-0.198705,3.63553,0.0,0.0,0.0,97.6299
201301010500,201301010530,-9999.0,1,0.0,0.247,7.851,2.01275,-0.208927,3.65902,0.0,0.0,0.0,97.6741
201301010530,201301010600,-9999.0,1,0.0,0.251,7.951,2.01872,-0.189407,3.678,0.0,0.0,0.0,97.6558
201301010600,201301010630,-9999.0,1,0.0,0.241,8.004,2.02189,-0.186245,3.68807,0.0,0.0,0.0,97.7528
201301010630,201301010700,-9999.0,1,0.0,0.229,8.118,2.02868,-0.161608,3.70975,0.0,0.0,0.0,97.8834
201301010700,201301010730,-9999.0,1,0.0,0.223,8.244,2.03619,-0.205022,3.73376,0.0,0.0,0.0,97.9519
201301010730,201301010800,-9999.0,1,0.0,0.206,8.379,2.04422,-0.148978,3.75953,0.0,0.0,0.0,98.1282
201301010800,201301010830,-2.6619,0,0.0,0.217,8.53,2.0532,4.7151,3.78841,0.0,0.0,0.0,98.0495
201301010830,201301010900,-9999.0,1,1.278,0.223,8.637,2.05955,-0.053417,3.80891,0.010972,8.64285,2.98995,98.0091
201301010900,201301010930,-9999.0,1,3.98,0.236,8.76,2.06685,-0.041699,3.83252,0.034104,88.0147,9.4695,97.9077
201301010930,201301011000,-9999.0,1,28.795,0.253,8.755,2.06656,-0.186215,3.83156,0.242391,175.793,56.4085,97.76
201301011000,201301011030,-9999.0,1,107.56,0.352,8.893,2.07474,-0.161245,3.85809,0.857476,253.418,196.935,96.9144
201301011030,201301011100,-9999.0,1,95.999,0.502,8.78,2.06804,0.003967,3.83636,0.771306,319.56,182.164,95.56
