TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,RH
201201010000,201201010030,-0.114933,0,0.0,0.554,11.8,1.20173,1.31667,0.988993,0.0,0.0,0.0,96.0
201201010030,201201010100,-9999.0,1,0.0,0.989,6.699,0.9511,0.221336,0.811912,0.0,0.0,-9999.0,-9999.0
201201010100,201201010130,-9999.0,1,0.0,0.469,11.73,1.19822,-0.051083,0.986552,0.0,0.0,0.0,96.6
201201010130,201201010200,0.477632,0,0.0,0.512,11.8,1.20173,0.724101,0.988993,0.0,0.0,0.0,96.3
201201010200,201201010230,2.28655,0,0.0,0.573,11.94,1.20877,-1.07778,0.993877,0.0,0.0,0.0,95.9
201201010230,201201010300,6.11149,0,0.0,0.545,11.94,1.20877,-4.90272,0.993877,0.0,0.0,0.0,96.1
201201010300,201201010330,2.1602,0,0.0,0.517,11.95,1.20927,-0.950927,0.994225,0.0,0.0,0.0,96.3
201201010330,201201010400,-9999.0,1,0.0,0.504,11.97,1.21028,-0.06823,0.994923,0.0,0.0,0.0,96.4
201201010400,201201010430,2.99092,0,0.0,0.348,11.86,1.20475,-1.78617,0.991086,0.0,0.0,0.0,97.5
201201010430,201201010500,-9999.0,1,0.0,0.494,12.1,1.21682,-0.107128,0.999458,0.0,0.0,0.0,96.5
201201010500,201201010530,-9999.0,1,0.0,0.552,12.12,1.21783,-0.106121,1.00015,0.0,0.0,0.0,96.1
201201010530,201201010600,-3.35974,0,0.0,0.433,11.94,1.20877,4.56851,0.993877,0.0,0.0,0.0,96.9
201201010600,201201010630,-5.60757,0,0.0,0.418,11.9,1.20676,6.81433,0.992481,0.0,0.0,0.0,97.0
201201010630,201201010700,-9999.0,1,0.0,0.431,11.88,1.20575,-0.072756,0.991784,0.0,0.0,0.0,96.9
201201010700,201201010730,4.79195,0,0.0,0.418,11.88,1.20575,-3.5862,0.991784,0.0,0.0,0.0,97.0
