TIMESTAMP_START,TIMESTAMP_END,NEE,NEE_VUT_REF_QC,SW_IN_F,VPD_F_MDS,TA_F_MDS,RECO_NT_VUT_REF,GPP_NT_VUT_REF,RECO_DT_VUT_REF,GPP_DT_VUT_REF,SW_IN_POT,PPFD_IN,RH
200201010000,200201010030,-9999.0,1.0,0.0,0.37,-12.99,0.0,0.081367,0.077335,0.0,0.0,0.0,83.82
200201010030,200201010100,-9999.0,1.0,0.0,0.38,-12.98,0.0,0.079406,0.077619,0.0,0.0,0.0,83.38
200201010100,200201010130,-9999.0,1.0,0.0,0.39,-12.96,0.0,0.088248,0.078189,0.0,0.0,0.0,83.17
200201010130,200201010200,-9999.0,1.0,0.0,0.38,-13.18,0.0,-0.029326,0.072102,0.0,0.0,0.0,83.1
200201010200,200201010230,-9999.0,1.0,0.0,0.47,-12.45,0.0,0.253283,0.093967,0.0,0.0,0.0,80.41
200201010230,200201010300,-9999.0,1.0,0.0,0.49,-12.45,0.0,0.252095,0.093967,0.0,0.0,0.0,79.45
200201010300,200201010330,-9999.0,1.0,0.0,0.37,-14.13,0.0,-0.385116,0.050161,0.0,0.0,0.0,82.29
200201010330,200201010400,-9999.0,1.0,0.0,0.32,-14.29,0.0,-0.435168,0.047086,0.0,0.0,0.0,84.75
200201010400,200201010430,-9999.0,1.0,0.0,0.39,-13.59,0.0,-0.237676,0.061812,0.0,0.0,0.0,82.08
200201010430,200201010500,-9999.0,1.0,0.0,0.41,-13.56,0.0,-0.218429,0.06252,0.0,0.0,0.0,81.25
200201010500,200201010530,-9999.0,1.0,0.0,0.38,-14.02,0.0,-0.442352,0.052371,0.0,0.0,0.0,81.74
200201010530,200201010600,-9999.0,1.0,0.0,0.41,-14.16,0.0,-0.489806,0.049572,0.0,0.0,0.0,80.39
200201010600,200201010630,-9999.0,1.0,0.0,0.42,-14.37,0.0,-0.580797,0.04561,0.0,0.0,0.0,79.61
200201010630,200201010700,-9999.0,1.0,0.0,0.38,-14.83,0.0,-0.686552,0.037854,0.0,0.0,0.0,80.83
200201010700,200201010730,-9999.0,1.0,0.1,0.34,-14.94,0.0,-0.695874,0.036174,0.00085,0.0,1.8,82.37
200201010730,200201010800,-9999.0,1.0,23.0,0.45,-14.48,0.0,-0.166245,0.043643,0.187171,35.8929,59.1,77.95
200201010800,200201010830,-9999.0,1.0,55.5,0.65,-13.96,0.0,0.126296,0.05361,0.42571,146.683,161.3,69.24
200201010830,200201010900,-9999.0,1.0,86.0,0.76,-13.38,0.0,-0.400506,0.066917,0.62592,251.504,239.6,65.32
200201010900,200201010930,-0.813167,0.0,117.3,0.8,-12.82,0.0,0.813167,0.082282,0.811151,345.715,288.5,65.22
200201010930,200201011000,-1.57628,0.0,148.4,0.77,-12.18,0.0,1.57628,0.103339,0.977764,427.702,323.6,68.21
200201011000,200201011030,-0.731778,0.0,178.6,0.75,-11.94,0.0,0.731778,0.11231,1.12516,496.064,348.6,69.79
200201011030,200201011100,-1.12356,0.0,206.8,0.74,-11.8,0.0,1.12356,0.117834,1.25159,549.63,468.2,70.37
200201011100,200201011130,-9999.0,1.0,201.2,0.69,-12.01,0.0,0.494437,0.109629,1.22728,587.484,526.5,71.95
200201011130,200201011200,-9999.0,2.0,204.0,0.69,-11.94,0.0,1.17075,0.11231,1.23948,608.978,-9999.0,71.99
200201011200,200201011230,-9999.0,2.0,390.819,0.75,-11.87,0.0,0.77008,0.115044,1.8823,613.745,-9999.0,69.78
200201011230,200201011300,-9999.0,1.0,383.097,0.76,-11.95,0.0,1.10166,0.111923,1.86105,601.703,-9999.0,69.18
200201011300,200201011330,-0.915889,0.0,364.834,0.82,-11.52,0.0,0.915889,0.12956,1.80932,573.057,-9999.0,68.06
200201011330,200201011400,-1.28744,0.0,336.343,0.84,-11.77,0.0,1.28744,0.119047,1.72415,528.299,-9999.0,66.75
200201011400,200201011430,3.964,0.0,262.468,0.85,-12.02,0.0,-3.964,0.10925,1.47407,468.194,-9999.0,65.6
200201011430,200201011500,0.208444,0.0,220.804,0.87,-12.12,0.0,-0.208444,0.105524,1.31074,393.77,-9999.0,64.36
200201011500,200201011530,0.804333,0.0,53.65,0.88,-12.73,0.0,-0.804333,0.085007,0.412869,306.301,-9999.0,62.08
200201011530,200201011600,0.142667,0.0,73.8,0.81,-13.56,0.0,-0.142667,0.06252,0.548345,207.283,257.101,62.86
200201011600,200201011630,0.475333,0.0,33.5,0.74,-14.49,0.0,-0.475333,0.043468,0.267355,98.411,92.1,63.38
200201011630,200201011700,2.68611,0.0,3.8,0.64,-15.61,0.0,-2.68611,0.027243,0.032079,7.17214,15.7,65.041
200201011700,200201011730,1.58072,0.0,0.0,0.72,-15.82,0.0,-1.58072,0.024861,0.0,0.0,0.4,60.32
200201011730,200201011800,0.541389,0.0,0.0,0.78,-15.87,0.0,-0.541389,0.024321,0.0,0.0,0.0,56.79
200201011800,200201011830,0.943667,0.0,0.0,0.79,-16.05,0.0,-0.943667,0.022458,0.0,0.0,0.0,55.42
200201011830,200201011900,1.21133,0.0,0.0,0.93,-16.07,0.0,-1.21133,0.022259,0.0,0.0,0.0,47.59
200201011900,200201011930,0.701,0.0,0.0,1.05,-15.87,0.0,-0.701,0.024321,0.0,0.0,0.0,41.6
200201011930,200201012000,1.03033,0.0,0.0,1.01,-16.079,0.0,-1.03033,0.02217,0.0,0.0,0.0,42.81
200201012000,200201012030,0.996111,0.0,0.0,0.97,-16.09,0.0,-0.996111,0.022061,0.0,0.0,0.0,45.08
200201012030,200201012100,0.51,0.0,0.0,0.96,-15.78,0.0,-0.51,0.025301,0.0,0.0,0.0,47.18
200201012100,200201012130,0.752389,0.0,0.0,0.92,-15.58,0.0,-0.752389,0.027598,0.0,0.0,0.0,49.87
200201012130,200201012200,0.561,0.0,0.0,0.91,-15.54,0.0,-0.561,0.028078,0.0,0.0,0.0,50.61
200201012200,200201012230,0.742722,0.0,0.0,0.93,-15.46,0.0,-0.742722,0.029059,0.0,0.0,0.0,49.96
200201012230,200201012300,0.411278,0.0,0.0,1.0,-15.14,0.0,-0.411278,0.033281,0.0,0.0,0.0,47.31
200201012300,200201012330,0.544889,0.0,0.0,0.99,-15.14,0.0,-0.544889,0.033281,0.0,0.0,0.0,48.27
200201012330,200201020000,0.919333,0.0,0.0,1.21,-14.62,0.0,-0.919333,0.041244,0.0,0.0,0.0,39.02
200201020000,200201020030,0.593667,0.0,0.0,1.49,-14.0,0.0,-0.593667,0.052781,0.0,0.0,0.0,28.71
200201020030,200201020100,0.459,0.0,0.0,1.6,-13.73,0.0,-0.459,0.058593,0.0,0.0,0.0,25.24
200201020100,200201020130,0.695167,0.0,0.0,1.71,-13.34,0.0,-0.695167,0.067928,0.0,0.0,0.0,22.31
200201020130,200201020200,1.05672,0.0,0.0,1.83,-13.03,0.0,-1.05672,0.076208,0.0,0.0,0.0,19.29
200201020200,200201020230,-9999.0,1.0,0.0,1.97,-12.41,0.0,0.064555,0.095309,0.0,0.0,0.0,17.16
200201020230,200201020300,-9999.0,1.0,0.0,2.0,-12.39,0.0,0.064555,0.095986,0.0,0.0,0.0,16.11
200201020300,200201020330,-9999.0,1.0,0.0,2.15,-11.77,0.0,0.528344,0.119047,0.0,0.0,0.0,14.18
200201020330,200201020400,-9999.0,1.0,0.0,2.21,-11.46,0.0,0.845233,0.132195,0.0,0.0,0.0,13.7
200201020400,200201020430,-9999.0,1.0,0.0,2.11,-11.88,0.0,0.423919,0.11465,0.0,0.0,0.0,15.06
200201020430,200201020500,-9999.0,1.0,0.0,2.16,-11.72,0.0,0.561015,0.121091,0.0,0.0,0.0,14.16
200201020500,200201020530,-9999.0,1.0,0.0,2.22,-11.43,0.0,0.868306,0.133528,0.0,0.0,0.0,13.73
200201020530,200201020600,-9999.0,1.0,0.0,2.14,-11.74,0.0,0.521668,0.12027,0.0,0.0,0.0,14.78
200201020600,200201020630,-9999.0,1.0,0.0,2.24,-11.23,0.0,1.12579,0.142707,0.0,0.0,0.0,14.26
200201020630,200201020700,-9999.0,1.0,0.0,2.33,-10.79,0.0,1.46602,0.164743,0.0,0.0,0.0,13.76
200201020700,200201020730,-9999.0,1.0,0.0,2.57,-9.84,1e-06,1.80255,0.221964,0.0,0.0,3.7,11.91
200201020730,200201020800,-9999.0,1.0,22.3,2.46,-10.03,0.0,0.88776,0.20938,0.181713,37.0395,73.9,14.45
200201020800,200201020830,-9999.0,1.0,94.0,2.63,-8.99,1e-06,-0.239606,0.286087,0.675089,148.187,245.6,15.58
200201020830,200201020900,-9999.0,1.0,176.7,2.63,-8.56,1e-06,0.128723,0.323854,1.11627,253.072,424.2,18.41
200201020900,200201020930,-9999.0,1.0,254.5,2.99,-7.04,1e-06,-0.286907,0.491114,1.44421,347.34,591.0,17.64
200201020930,200201021000,-9999.0,1.0,324.4,2.63,-7.75,1e-06,1.12946,0.405977,1.68672,429.377,736.8,23.44
200201021000,200201021030,-1.5755,0.0,387.6,2.94,-6.58,1e-06,1.5755,0.553555,1.87349,497.78,854.5,21.76
200201021030,200201021100,-2.74217,0.0,441.2,3.19,-5.99,1e-06,2.74217,0.642807,2.01244,551.379,943.9,18.99
200201021100,200201021130,-0.817056,0.0,473.6,3.27,-5.34,1e-06,0.817056,0.754087,2.08909,589.256,1004.3,20.78
200201021130,200201021200,0.838722,0.0,492.6,3.51,-4.86,1e-06,-0.838721,0.84571,2.13173,610.763,1032.9,18.18
200201021200,200201021230,-2.15039,0.0,495.6,3.69,-4.22,1e-06,2.15039,0.981392,2.13832,615.533,1030.2,17.87
200201021230,200201021300,-4.22272,0.0,485.5,3.75,-4.17,1e-06,4.22272,0.992677,2.11599,603.483,995.9,16.93
200201021300,200201021330,-0.411444,0.0,457.8,3.8,-4.09,1e-06,0.411445,1.01095,2.05235,574.821,932.1,16.32
200201021330,200201021400,-0.623444,0.0,411.2,3.88,-3.9,1e-06,0.623445,1.0554,1.93666,530.035,839.4,15.77
200201021400,200201021430,-2.6705,0.0,352.3,4.15,-3.16,1e-06,2.6705,1.24344,1.77254,469.893,719.7,14.8
200201021430,200201021500,-0.0574444,0.0,283.6,4.23,-2.89,1e-06,0.057445,1.31825,1.55036,395.424,577.6,14.87
200201021500,200201021530,-0.982833,0.0,207.4,4.32,-2.74,1e-06,0.982834,1.36131,1.25417,307.902,421.1,13.97
200201021530,200201021600,0.885833,0.0,126.5,4.16,-3.18,1e-06,-0.885832,1.23804,0.862133,208.824,262.5,14.39
200201021600,200201021630,0.607056,0.0,47.9,3.72,-4.29,1e-06,-0.607055,0.965764,0.372416,99.8863,96.8,16.86
200201021630,200201021700,-0.673167,0.0,3.6,3.01,-6.75,1e-06,0.673167,0.529777,0.030402,7.68793,16.8,18.83
200201021700,200201021730,-1.28528,0.0,0.0,2.87,-7.15,1e-06,1.28528,0.477057,0.0,0.0,0.4,20.3
200201021730,200201021800,-2.60311,0.0,0.0,2.95,-6.89,1e-06,2.60311,0.510818,0.0,0.0,0.0,19.54
200201021800,200201021830,-3.60383,0.0,0.0,2.99,-6.9,1e-06,3.60383,0.509485,0.0,0.0,0.0,18.55
200201021830,200201021900,-3.30306,0.0,0.0,2.99,-6.95,1e-06,3.30306,0.502862,0.0,0.0,0.0,18.11
200201021900,200201021930,-1.99589,0.0,0.0,2.84,-7.28,1e-06,1.99589,0.460865,0.0,0.0,0.0,20.39
200201021930,200201022000,-1.72989,0.0,0.0,2.54,-7.26,1e-06,1.72989,0.463326,0.0,0.0,0.0,28.7
200201022000,200201022030,-1.39283,0.0,0.0,2.45,-7.22,1e-06,1.39283,0.468282,0.0,0.0,0.0,31.56
200201022030,200201022100,-2.09717,0.0,0.0,2.46,-6.77,1e-06,2.09717,0.527035,0.0,0.0,0.0,33.69
200201022100,200201022130,-2.61467,0.0,0.0,2.45,-6.47,1e-06,2.61467,0.569392,0.0,0.0,0.0,35.43
200201022130,200201022200,-1.29044,0.0,0.0,2.18,-6.97,1e-06,1.29044,0.500232,0.0,0.0,0.0,40.29
200201022200,200201022230,-0.449833,0.0,0.0,2.04,-8.6,1e-06,0.449833,0.320178,0.0,0.0,0.0,36.5
200201022230,200201022300,0.638278,0.0,0.0,1.66,-9.52,1e-06,-0.638278,0.244556,0.0,0.0,0.0,44.7
200201022300,200201022330,-9999.0,1.0,0.0,1.1,-8.31,1e-06,2.10601,0.347611,0.0,0.0,0.0,66.52
200201022330,200201030000,1.07433,0.0,0.0,1.04,-7.21,1e-06,-1.07433,0.469528,0.0,0.0,0.0,71.17
200201030000,200201030030,0.357722,0.0,0.0,1.22,-9.33,1e-06,-0.357722,0.258836,0.0,0.0,0.0,59.83
200201030030,200201030100,-0.816667,0.0,0.0,1.13,-9.37,1e-06,0.816667,0.253328,0.0,0.0,0.0,62.7
200201030100,200201030130,-0.471722,0.0,0.0,0.9,-8.79,1e-06,0.471722,0.297378,0.0,0.0,0.0,71.83
200201030130,200201030200,-0.117333,0.0,0.0,0.83,-8.74,1e-06,0.117333,0.298752,0.0,0.0,0.0,74.0
200201030200,200201030230,-0.185611,0.0,0.0,0.65,-8.94,1e-06,0.185611,0.279176,0.0,0.0,0.0,79.21
200201030230,200201030300,-1.19583,0.0,0.0,0.54,-8.29,1e-06,1.19583,0.332849,0.0,0.0,0.0,83.8
200201030300,200201030330,-2.07606,0.0,0.0,0.56,-7.15,1e-06,2.07606,0.449673,0.0,0.0,0.0,84.58
200201030330,200201030400,-3.42461,0.0,0.0,0.55,-6.82,1e-06,3.42461,0.485389,0.0,0.0,0.0,85.18
200201030400,200201030430,-3.65983,0.0,0.0,0.61,-6.44,1e-06,3.65983,0.529859,0.0,0.0,0.0,84.06
200201030430,200201030500,-3.80911,0.0,0.0,0.93,-5.12,1e-06,3.80911,0.726588,0.0,0.0,0.0,77.92
